filename,mask_filename,subset,iou,f1
DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.jpg,DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.png,DIS-TE2,0.06923621388585033,0.12950592766444002
DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.jpg,DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.png,DIS-TE2,0.4937258663758053,0.6610662337577666
DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.jpg,DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.png,DIS-TE2,0.2951345204684022,0.4557588664406273
DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.jpg,DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.png,DIS-TE2,0.19886577578323714,0.3317565315488552
DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.jpg,DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.png,DIS-TE2,0.0786896231764524,0.14589854483763828
DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.jpg,DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.png,DIS-TE2,0.214646094403574,0.3534298515304927
DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.jpg,DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.png,DIS-TE2,0.0212524963486244,0.04162045414745199
DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.jpg,DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.png,DIS-TE2,0.177683744547881,0.30175120505903685
DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.jpg,DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.png,DIS-TE2,0.08488899498687037,0.15649342076310346
DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.jpg,DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.png,DIS-TE2,0.42032167175393287,0.591868279014407
DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.jpg,DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.png,DIS-TE2,0.20279460155467596,0.3372057062653144
DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.jpg,DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.png,DIS-TE2,0.2111106559056086,0.34862323252824573
DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.jpg,DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.png,DIS-TE2,0.1381298601247081,0.24273128219230242
DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.jpg,DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.png,DIS-TE2,0.3830671536029652,0.5539386176658949
DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.jpg,DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.png,DIS-TE3,0.14463611472543964,0.2527198170051328
DIS-TE3_4#Architecture#4#Fence#36518063870_7cf8df35bc_o.jpg,DIS-TE3_4#Architecture#4#Fence#36518063870_7cf8df35bc_o.png,DIS-TE3,0.20019582045711837,0.33360526181614236
DIS-TE3_2#Aircraft#6#Parachute#35328719541_69fb5a35cd_o.jpg,DIS-TE3_2#Aircraft#6#Parachute#35328719541_69fb5a35cd_o.png,DIS-TE3,0.41946899807771193,0.5910224156297454
DIS-TE3_17#Non-motor Vehicle#4#Cart#4776627829_94699a02a5_o.jpg,DIS-TE3_17#Non-motor Vehicle#4#Cart#4776627829_94699a02a5_o.png,DIS-TE3,0.13754342938892294,0.24182536830758175
