filename,mask_filename,subset,iou,f1
DIS-TE1_21#Tool#3#Clock#44011819935_378fff21aa_o.jpg,DIS-TE1_21#Tool#3#Clock#44011819935_378fff21aa_o.png,DIS-TE1,0.2532909375403741,0.40420133897635313
DIS-TE1_10#Frame#5#Rack#IMG_20210518_194409.jpg,DIS-TE1_10#Frame#5#Rack#IMG_20210518_194409.png,DIS-TE1,0.045637984278495226,0.08729213162619771
DIS-TE1_1#Accessories#3#Eyeglasses#3530574307_5df2551eb7_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#3530574307_5df2551eb7_o.png,DIS-TE1,0.15654546018165474,0.27071216060467984
DIS-TE1_4#Architecture#11#Pipe#8973269623_35653a2ac4_o.jpg,DIS-TE1_4#Architecture#11#Pipe#8973269623_35653a2ac4_o.png,DIS-TE1,0.07250637669485838,0.13520922256574583
DIS-TE1_11#Furniture#9#Easel#41350193222_e3b44174b9_o.jpg,DIS-TE1_11#Furniture#9#Easel#41350193222_e3b44174b9_o.png,DIS-TE1,0.6603635283965966,0.7954445121235659
DIS-TE1_11#Furniture#4#Chair#2886460384_ea259fb70f_o.jpg,DIS-TE1_11#Furniture#4#Chair#2886460384_ea259fb70f_o.png,DIS-TE1,0.17092868908826306,0.2919540543862764
DIS-TE1_11#Furniture#2#Bench#22653754305_7d7153fb50_o.jpg,DIS-TE1_11#Furniture#2#Bench#22653754305_7d7153fb50_o.png,DIS-TE1,0.01778503108671362,0.03494850197929146
DIS-TE1_11#Furniture#11#Handrail#IMG_20210708_192009.jpg,DIS-TE1_11#Furniture#11#Handrail#IMG_20210708_192009.png,DIS-TE1,0.10217147552489451,0.18540032616292615
DIS-TE1_4#Architecture#11#Pipe#7124946891_03a3a2a283_o.jpg,DIS-TE1_4#Architecture#11#Pipe#7124946891_03a3a2a283_o.png,DIS-TE1,0.0928357803153888,0.16989886676037766
DIS-TE1_10#Frame#5#Rack#2634130269_9e5e22af7e_o.jpg,DIS-TE1_10#Frame#5#Rack#2634130269_9e5e22af7e_o.png,DIS-TE1,0.3565857355925573,0.5257105780148874
DIS-TE1_21#Tool#7#Rope#26572625450_eaa2890642_o.jpg,DIS-TE1_21#Tool#7#Rope#26572625450_eaa2890642_o.png,DIS-TE1,0.003261307698884804,0.006501412291808707
DIS-TE1_7#Electrical#6#StreetLamp#23699457914_e1c4269036_o.jpg,DIS-TE1_7#Electrical#6#StreetLamp#23699457914_e1c4269036_o.png,DIS-TE1,0.006890547263681592,0.013686785087827655
DIS-TE1_21#Tool#1#Axe#45673228154_7c1bc976f3_o.jpg,DIS-TE1_21#Tool#1#Axe#45673228154_7c1bc976f3_o.png,DIS-TE1,0.0,0.0
DIS-TE1_10#Frame#3#BicycleStand#5279788922_16b4cca5bb_o.jpg,DIS-TE1_10#Frame#3#BicycleStand#5279788922_16b4cca5bb_o.png,DIS-TE1,0.021230357739886324,0.04157799967261418
DIS-TE1_21#Tool#14#Sword#425635285_5d2e0670bf_o.jpg,DIS-TE1_21#Tool#14#Sword#425635285_5d2e0670bf_o.png,DIS-TE1,0.6362669534564139,0.7777055597344648
DIS-TE1_16#Music Instrument#8#Violin#38809677390_e68798ed57_o.jpg,DIS-TE1_16#Music Instrument#8#Violin#38809677390_e68798ed57_o.png,DIS-TE1,0.3242905440016392,0.48975739571729177
DIS-TE1_1#Accessories#3#Eyeglasses#47958244331_9e28e009c1_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#47958244331_9e28e009c1_o.png,DIS-TE1,0.13148387405493348,0.23240962963746128
DIS-TE1_1#Accessories#3#Eyeglasses#4714861082_d837a5be81_o.jpg,DIS-TE1_1#Accessories#3#Eyeglasses#4714861082_d837a5be81_o.png,DIS-TE1,0.29588875961929323,0.45665765278528936
DIS-TE1_10#Frame#5#Rack#13592685465_7334ced235_o.jpg,DIS-TE1_10#Frame#5#Rack#13592685465_7334ced235_o.png,DIS-TE1,0.024220463430914465,0.04729541011079043
DIS-TE1_11#Furniture#19#Shower#8325346891_097877fcaf_o.jpg,DIS-TE1_11#Furniture#19#Shower#8325346891_097877fcaf_o.png,DIS-TE1,0.0011030662895901054,0.0022037017500674003
DIS-TE2_13#Insect#11#Spider#31603036612_f9d40e3fd4_o.jpg,DIS-TE2_13#Insect#11#Spider#31603036612_f9d40e3fd4_o.png,DIS-TE2,0.03098872084674711,0.06011456812310457
DIS-TE2_21#Tool#16#Telescope#23291975033_085c6044e2_o.jpg,DIS-TE2_21#Tool#16#Telescope#23291975033_085c6044e2_o.png,DIS-TE2,0.13665024187871616,0.2404437826940561
DIS-TE2_22#Weapon#3#Missile#3645658466_453cc98d0d_o.jpg,DIS-TE2_22#Weapon#3#Missile#3645658466_453cc98d0d_o.png,DIS-TE2,0.007834093269721669,0.015546394633873672
DIS-TE2_1#Accessories#5#Jewelry#3944541216_066490edff_o.jpg,DIS-TE2_1#Accessories#5#Jewelry#3944541216_066490edff_o.png,DIS-TE2,0.21448809830451976,0.3532156446884162
DIS-TE2_21#Tool#6#Key#2168174621_5443134212_o.jpg,DIS-TE2_21#Tool#6#Key#2168174621_5443134212_o.png,DIS-TE2,0.053013333333333336,0.10068881685575365
DIS-TE2_11#Furniture#8#DeskChair#4060650962_3a3f8c883f_o.jpg,DIS-TE2_11#Furniture#8#DeskChair#4060650962_3a3f8c883f_o.png,DIS-TE2,0.0809895046150169,0.14984327649667695
DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.jpg,DIS-TE2_4#Architecture#3#Crack#14415831884_11aa8657fc_o.png,DIS-TE2,0.4964973730297723,0.6635459332943242
DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.jpg,DIS-TE2_4#Architecture#10#Pavilion#2229916369_690c320b94_o.png,DIS-TE2,0.45477960224781794,0.625221307124634
DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.jpg,DIS-TE2_4#Architecture#13#Sculpture#92242078_b8f7377fed_o.png,DIS-TE2,0.0,0.0
DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.jpg,DIS-TE2_21#Tool#4#Flag#10658256784_eb43a48829_o.png,DIS-TE2,0.156858661589115,0.27118033826819715
DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.jpg,DIS-TE2_2#Aircraft#3#HangGlider#6165144967_31de274f6e_o.png,DIS-TE2,0.08336965602411826,0.153908050794183
DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.jpg,DIS-TE2_13#Insect#1#Ant#7757229062_264b5952d7_o.png,DIS-TE2,0.0008584733751771614,0.001715474061546678
DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.jpg,DIS-TE2_20#Sports#13#UnevenBars#19709805936_8508bd498b_o.png,DIS-TE2,0.02550580599361087,0.049742879746835444
DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.jpg,DIS-TE2_22#Weapon#1#Cannon#48642016533_c581a87752_o.png,DIS-TE2,0.35541411713286714,0.5244362038735162
DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.jpg,DIS-TE2_14#Kitchenware#3#Hydrovalve#15824455560_61c9ba2f26_o.png,DIS-TE2,0.017233286059564947,0.033882662503743194
DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.jpg,DIS-TE2_6#Automobile#12#Truck#5372551890_63bf180050_o.png,DIS-TE2,0.17279403823307052,0.29467073092117985
DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.jpg,DIS-TE2_7#Electrical#1#Cable#26260356224_166e350c44_o.png,DIS-TE2,0.16124281105344368,0.2777073141269554
DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.jpg,DIS-TE2_1#Accessories#2#Clothes#255295964_23f786f413_o.png,DIS-TE2,0.23962560822726983,0.38660964510074475
DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.jpg,DIS-TE2_5#Artifact#3#Handcraft#175491592_4b9360e313_o.png,DIS-TE2,0.09575160671062516,0.17476881826906965
DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.jpg,DIS-TE2_6#Automobile#12#Truck#2278142076_0a4dffcde6_o.png,DIS-TE2,0.3117559039750179,0.47532609234736894
DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.jpg,DIS-TE3_11#Furniture#4#Chair#8404438172_390cbb75c7_o.png,DIS-TE3,0.06394085268011293,0.12019625436704148
